"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18","6,194.50","6,118.06","6,212.12","6,014.80","122.01B","2.28%"
"Nov 18","6,056.12","5,855.22","6,117.19","5,747.53","139.19B","3.85%"
"Oct 18","5,831.65","5,950.86","5,982.06","5,623.84","153.96B","-2.42%"
"Sep 18","5,976.55","6,025.41","6,026.91","5,621.60","121.00B","-0.70%"
"Aug 18","6,018.46","5,952.94","6,117.29","5,689.94","125.76B","1.38%"
"Jul 18","5,936.44","5,828.49","6,027.94","5,557.56","132.06B","2.37%"
"Jun 18","5,799.24","6,004.12","6,116.43","5,661.01","80.01B","-3.08%"
"May 18","5,983.59","5,999.36","6,095.83","5,716.65","128.85B","-0.18%"
"Apr 18","5,994.60","6,194.51","6,380.35","5,885.34","136.24B","-3.14%"
"Mar 18","6,188.99","6,605.31","6,630.13","6,085.20","166.91B","-6.19%"
"Feb 18","6,597.22","6,625.35","6,693.47","6,426.76","205.58B","-0.13%"
"Jan 18","6,605.63","6,366.08","6,686.35","6,220.69","189.42B","3.93%"
"Dec 17","6,355.65","6,014.06","6,368.32","5,979.48","101.31B","6.78%"
"Nov 17","5,952.14","6,017.04","6,098.78","5,952.14","134.02B","-0.89%"
"Oct 17","6,005.78","5,917.75","6,042.45","5,860.76","136.39B","1.78%"
"Sep 17","5,900.85","5,858.21","5,928.79","5,774.31","111.18B","0.63%"
"Aug 17","5,864.06","5,853.51","5,916.82","5,749.29","130.70B","0.40%"
"Jul 17","5,840.94","5,846.60","5,910.24","5,756.51","98.94B","0.19%"
"Jun 17","5,829.71","5,749.42","5,831.34","5,668.72","74.57B","1.60%"
"May 17","5,738.15","5,703.87","5,874.44","5,577.52","132.92B","0.93%"
"Apr 17","5,685.30","5,583.35","5,726.53","5,577.49","126.78B","2.10%"
"Mar 17","5,568.11","5,389.17","5,606.02","5,350.91","182.09B","3.37%"
"Feb 17","5,386.69","5,319.94","5,418.38","5,317.49","331.63B","1.75%"
"Jan 17","5,294.10","5,290.39","5,360.06","5,228.29","252.89B","-0.05%"
"Dec 16","5,296.71","5,168.63","5,334.79","5,022.85","127.40B","2.87%"
"Nov 16","5,148.91","5,430.74","5,491.70","5,043.35","198.64B","-5.05%"
"Oct 16","5,422.54","5,403.86","5,482.84","5,332.08","208.10B","1.08%"
"Sep 16","5,364.80","5,368.52","5,474.31","5,128.17","99.83B","-0.40%"
"Aug 16","5,386.08","5,280.21","5,476.22","5,279.59","130.28B","3.26%"
"Jul 16","5,215.99","5,027.62","5,334.12","4,971.58","82.08B","3.97%"
"Jun 16","5,016.65","4,801.85","5,033.24","4,754.36","102.55B","4.58%"
"May 16","4,796.87","4,828.96","4,845.12","4,690.56","66.16B","-0.86%"
"Apr 16","4,838.58","4,843.39","4,920.40","4,766.81","86.92B","-0.14%"
"Mar 16","4,845.37","4,760.24","4,908.26","4,757.80","83.63B","1.56%"
"Feb 16","4,770.96","4,620.15","4,803.61","4,545.14","63.65B","3.38%"
"Jan 16","4,615.16","4,580.16","4,639.24","4,408.80","53.14B","0.48%"
"Dec 15","4,593.01","4,504.22","4,595.51","4,330.76","45.64B","3.30%"
"Nov 15","4,446.46","4,442.42","4,621.26","4,395.97","59.94B","-0.20%"
"Oct 15","4,455.18","4,231.41","4,696.16","4,207.80","91.85B","5.48%"
"Sep 15","4,223.91","4,484.20","4,484.79","4,033.59","70.83B","-6.34%"
"Aug 15","4,509.61","4,778.04","4,868.07","4,111.11","71.84B","-6.10%"
"Jul 15","4,802.53","4,924.07","4,982.91","4,711.49","63.44B","-2.20%"
